Index,User ID,Gender,Age,EstimatedSalary,Purchased
0,15624510,1,19,19000,0
1,15810944,1,35,20000,0
2,15668575,0,26,43000,0
3,15603246,0,27,57000,0
4,15804002,1,19,76000,0
5,15728773,1,27,58000,0
6,15598044,0,27,84000,0
7,15694829,0,32,150000,1
8,15600575,1,25,33000,0
9,15727311,0,35,65000,0
10,15570769,0,26,80000,0
11,15606274,0,26,52000,0
12,15746139,1,20,86000,0
13,15704987,1,32,18000,0
14,15628972,1,18,82000,0
15,15697686,1,29,80000,0
16,15733883,1,47,25000,1
17,15617482,1,45,26000,1
18,15704583,1,46,28000,1
19,15621083,0,48,29000,1
